number,name,address,position.lat,position.lng
11053,Ballyphehane,Pearse Road,51.88399795,-8.482534085
11054,Ballyphehane,Pearse Road,51.88396253,-8.482402973
11055,Ballyvolane Business Park,Ballyvolane Road,51.91562586,-8.456780702
11056,Ballyvolane Business Park,Ballyvolane Road,51.91549148,-8.45666305
11057,Black Ash Park,N/A,51.87840953,-8.466207241
11058,Black Ash Park,N/A,51.87860729,-8.466209286
11059,Blackpool Ulster Bank Cork,N20,51.9126908,-8.471620405
11060,Cope Factory Vicars Road,Don Bastible Court,51.87898388,-8.486431019
11061,Cathedral Road,Cathedral Road,51.90483155,-8.485547561
11062,Corkcapwell Depot,Summer Hill South,51.89102072,-8.468647706
11063,Corkcapwell Depot,Summer Hill South,51.8910663,-8.46848837
11064,Turners Cross Schools,Evergreen Road,51.88875018,-8.467708861
11065,Shandon Street,Church Street Shandon,51.90318086,-8.47814745
11066,Bakers Road,Bakers Road,51.90600966,-8.496198443
11067,Ndti Hollyhill Cork Schools,Blarney Road,51.90099418,-8.510790855
11068,Mayfield Lotabeg,Boherboy Road,51.91257657,-8.423653279
11069,Mayfield Lotabeg,Boherboy Road,51.91254914,-8.423783837
11070,Kent Station,Lower Glanmire Road,51.90214448,-8.458474958
11071,Kent Station,Lower Glanmire Road,51.90222645,-8.458199688
11072,Knocknaheeney,Harbour View Road,51.9037252,-8.513248726
11073,Knocknaheeney,Harbour View Road,51.90368855,-8.513408164
11074,Holy Cross Mahon,Ringmahon Road,51.89498321,-8.400996235
11075,Mahon Point,,51.88525309,-8.399471544
11076,Mahon Point,,51.88535978,-8.399821122
11077,Lotabeg,Boherboy Road,51.91254919,-8.423769302
11078,Lotabeg,Boherboy Road,51.91256764,-8.42363866
11079,Lower Road,Lower Glanmire Road,51.90237632,-8.458956869
11080,Douglas Road,Douglas Road,51.88692375,-8.454354246
11081,Faranree Church,Knockpogue Avenue,51.91381908,-8.483769406
11082,Farranree Church,Knockpogue Avenue,51.91329904,-8.48344404
11083,Friar's Walk,Connolly Road,51.88392991,-8.477173298
11084,Friar's Walk,Connolly Road,51.88467909,-8.474188845
11085,Dillons Cross,Ballyhooly Road,51.90870071,-8.455358793
11086,Dillons Cross,Ballyhooly Road,51.90870936,-8.455446084
11087,Brian Boru Street,Brian Boru Street,51.90070517,-8.465609708
11088,Brian Boru Street,Brian Boru Street,51.9007054,-8.465551585
11089,Grand Parade,Sullivans Quay,51.89558209,-8.474419844
11090,Grand Parade,Sullivans Quay,51.89558209,-8.474419844
11091,Grand Parade,Sullivans Quay,51.89558215,-8.474405315
11092,Grand Parade,Sullivans Quay,51.89558209,-8.474419844
11093,Glenthorn,Glenheights Park,51.91960825,-8.461342251
11094,Glenheights Park,Glenheights Park,51.91937722,-8.460656628
11095,Glasheen Road,Glasheen Road,51.88389585,-8.504728568
11096,Glasheen,Glasheen Road,51.88391364,-8.504772345
11097,Mahon Road,Ringmahon Road,51.89265476,-8.395759714
11098,Cope Complex,Killala Gardens,51.90886214,-8.497639672
11099,Sandymount Avenue Glasheen,Sandymount Drive,51.88007957,-8.499544096
11100,Commons Road,Commons Road,51.91537652,-8.474366784
11101,Help Industries Tramore Road,Tramore Road,51.87680276,-8.481266124
11102,Help Industries Tramore Road,Tramore Road,51.87680276,-8.481266124
11103,Mayfield Church,Lower Mayfield Road,51.91448013,-8.429209308
11104,Fairhill Drive,Fair Hill Drive,51.91915089,-8.494293549
11105,Ucc,N/A,51.8936061,-8.491543285
11106,Fairhill,Upper Fairhill,51.91331279,-8.48882228
11107,Shandon Street,,51.90293775,-8.478246593
